datetime,ip_address,NIK,applicant_name,age,gender,marital_status,number_of_dependents,occupation,job_position,job_specific_code,job_specific,education_level,user_income,collateral_value_of_on_site_assets,average_loans_taken_in_the_same_location,last_credit_history,other_credit_history1,other_credit_history2,other_credit_history3,worst_credit_performance,hardware,operating_system_type,browser,home_address,domicile_address,road_type,building_type,building_owner,building_location,gmaps_coordinates,gmaps_location_name,gmpas_location_description,gmaps_category,gmaps_address,gmaps_neighborhood,gmaps_street,gmaps_city,gmaps_postal_code,gmaps_state,total_population,average_income_of_the_population_in_the_area,education_of_the_population_in_the_area,unemployment_rate_in_the_area,crime_rate_in_the_area,poverty_rate_in_the_area,length_of_stay_at_domicile_address,address_stability,domicile_address_and_location_suitability,credit_score,credit_score_category
2023-03-27 10:31:19.005145,172.27.122.188,1109080902790000,Diah Nashiruddin,44,L,Belum Kawin,3,Member of the Constitutional Court,Direktur,10615,Industri Makanan Sereal,S2,< Rp 5.000.000,434000000,> 8 Pinjaman,2,2,3,1,1,PC,Linux,Firefox,"Gang Lembong No. 547
Kota Administrasi Jakarta Pusat, Sulawesi Selatan 33045","Jalan Cihampelas No. 016
Tarakan, DI Yogyakarta 44464",Jalan Kecil,Rumah Susun,Pemerintah,Kawasan komersial,"-7.7955798, 110.3694896",Rumah Susun ,Natus earum cumque molestiae.,Condominium complex,"Jalan Cihampelas No. 016
Tarakan, DI Yogyakarta 44464",,,Yogyakarta,,Special Region of Yogyakarta,0,3,4,0,2,0,99,3,2,100,Excellent
2023-03-27 10:31:19.533972,172.26.55.106,7103105006630003,KH. Among Wulandari,60,P,Kawin,2,Hair stylist,Direktur,52291,Jasa Pengurusan Transportasi (jpt),S1,Rp 15.000.000 - Rp 20.000.000,427000000,0 - 2 Pinjaman,0,4,0,2,2,Smartphone,Windows,Safari,"Gang Astana Anyar No. 10
Padangpanjang, Sulawesi Tenggara 20748","Jl. Sadang Serang No. 0
Kediri, Kalimantan Selatan 93827",Jalan Sedang,Apartemen,Perorangan Orang Lain,Kawasan komersial,"-4.144909999999999, 122.174605",Villa ,Occaecati id aliquam modi officiis.,Gated community,"Gang Astana Anyar No. 10
Padangpanjang, Sulawesi Tenggara 20748",,,,,South East Sulawesi,4,0,0,3,3,2,2,0,0,30,Fair
2023-03-27 10:31:22.105958,10.50.230.38,6103080505600004,Gandi Irawan,63,L,Kawin,4,Member of the Supreme Audit Agency,Direktur,60202,Aktivitas Penyiaran Dan Pemrograman Televisi Oleh Swasta,S3,Rp 15.000.000 - Rp 20.000.000,406000000,> 8 Pinjaman,0,1,0,3,2,Laptop,macOS,Unknown,"Jalan Tubagus Ismail No. 3
Kendari, Kalimantan Barat 57667","Gg. Peta No. 680
Tual, Jambi 72701",Jalan Besar,Rumah,Perorangan Orang Lain,Pusat kota,"-0.2787808, 111.4752851",Kost-kostan ,Ad necessitatibus delectus beatae id assumenda.,Townhouse,"Jalan Tubagus Ismail No. 3
Kendari, Kalimantan Barat 57667",,,,,West Kalimantan,0,4,1,0,2,0,119,3,0,100,Excellent
2023-03-27 10:31:23.353417,192.168.114.94,3308212301540005,"Kacung Suwarno, S.Kom",69,L,Kawin,5,Accountant,Supervisor,46322,Perdagangan Besar Daging Ayam Dan Daging Ayam Olahan,S2,Rp 10.000.000 - Rp 15.000.000,837000000,0 - 2 Pinjaman,2,0,0,2,0,Tablet,Chrome OS,Firefox,"Gang Pasir Koja No. 228
Dumai, JK 32233","Gang Pasir Koja No. 228
Dumai, JK 32233",Jalan Besar,Apartemen,Pemerintah,Kawasan komersial,"-7.01833, 107.60389",Villa ,Autem praesentium soluta ipsam deserunt quaerat odio.,Residential neighbourhood,"Rancamulya, Bandung, Jawa Barat, 40288, Indonesia",,,,40288,Jawa Barat,3,1,0,3,3,2,20,0,0,40,Fair
2023-03-27 10:31:25.332087,10.226.252.86,2171094607980003,Kasusra Firgantoro,25,P,Duda,5,Islamic preacher,Direktur,47230,Perdagangan Eceran Khusus Rokok Dan Tembakau Di Toko,S3,Rp 5.000.000 - Rp 10.000.000,754000000,> 8 Pinjaman,0,0,2,0,4,Laptop,iOS,Opera,"Gang Cikapayang No. 787
Sorong, Sulawesi Barat 94251","Gg. Moch. Ramdan No. 640
Bima, LA 01345",Jalan Sedang,Kontrakan,Perorangan Orang Lain,Kawasan komersial,"3.31332, 117.59152",Kontrakan ,Temporibus consequuntur nam consectetur doloremque quo aliquid.,Gated community,"Karang Balik, Tarakan, Kalimantan Utara, 77112, Indonesia",,,Tarakan,77112,Kalimantan Utara,0,4,2,0,2,1,117,3,0,100,Excellent
2023-03-27 10:31:30.734142,172.31.137.194,5202121312550007,"R.M. Argono Iswahyudi, S.E.",68,L,Kawin,2,Pharmacist,Supervisor,84112,Penyelenggaraan Pemerintah Negara Dan Kesekretariatan Negara,S2,Rp 5.000.000 - Rp 10.000.000,514000000,3 - 5 Pinjaman,1,1,1,2,4,PC,Chrome OS,Edge,"Gg. Rumah Sakit No. 0
Tanjungbalai, Kalimantan Tengah 59732","Gg. Rungkut Industri No. 27
Bitung, Gorontalo 09366",Jalan Kecil,Villa,Perusahaan,Kawasan perumahan padat penduduk,"0.5435441999999999, 123.0567693",Kost-kostan ,Maiores neque totam odio itaque odit.,Gated community,"Gg. Rungkut Industri No. 27
Bitung, Gorontalo 09366",,,Gorontalo,,Gorontalo,3,0,0,4,3,2,30,0,2,60,Good
2023-03-27 10:31:31.274932,192.168.222.241,7402394711950006,"Drs. Ian Damanik, M.TI.",28,P,Kawin,5,Pharmacist,Supervisor,66111,Pasar Modal (bursa Efek),S2,Rp 15.000.000 - Rp 20.000.000,625000000,3 - 5 Pinjaman,4,2,1,2,0,Tablet,macOS,Firefox,"Gg. Tebet Barat Dalam No. 5
Kotamobagu, Sulawesi Tengah 85206","Gang Sentot Alibasa No. 60
Madiun, AC 47196",Jalan Kecil,Rumah,Perorangan Orang Lain,Kawasan pegunungan,"0.7243733, 124.3199316",Mess ,Suscipit quaerat reprehenderit eum.,Retirement home,"Gg. Tebet Barat Dalam No. 5
Kotamobagu, Sulawesi Tengah 85206",,,Kotamobagu,,North Sulawesi,0,3,4,1,2,1,118,3,0,100,Excellent
2023-03-27 10:31:32.315453,192.168.174.137,1906014507680003,"Dr. Septi Nuraini, S.Psi",55,P,Belum Kawin,2,Transportation,Manager,7291,Pertambangan Bijih Timah,SMA/SMK,< Rp 5.000.000,152000000,> 8 Pinjaman,1,0,0,1,3,PC,Chrome OS,Safari,"Gg. Erlangga No. 27
Tangerang Selatan, SU 88091","Gg. Erlangga No. 27
Tangerang Selatan, SU 88091",Jalan Besar,Kontrakan,Perusahaan,Kawasan perumahan padat penduduk,"-6.2835218, 106.7112933",Apartemen ,Explicabo rem error ipsa sint.,Townhouse,"Gg. Erlangga No. 27
Tangerang Selatan, SU 88091",,,South Tangerang,,Banten,1,3,3,1,3,0,65,2,2,100,Excellent
2023-03-27 10:31:32.735559,10.100.3.127,3213292506900006,Purwadi Nainggolan,33,L,Belum Kawin,1,Carpenter,Direktur,43302,"Pengerjaan Lantai, Dinding, Peralatan Saniter Dan Plafon",S2,> Rp 20.000.000,271000000,3 - 5 Pinjaman,3,3,2,4,4,Tablet,iOS,Brave,"Gang Dr. Djunjunan No. 5
Sawahlunto, SB 21882","Jl. Kebonjati No. 03
Manado, SN 57132",Jalan Kecil,Apartemen,Perorangan Orang Lain,Kawasan perumahan elite,"-7.0981, 109.3243",Villa Jembatan Comal,Id assumenda ab.,Gated community,"SMA ALFALAH, Jembatan Comal, Sikasur, Pemalang, Jawa Tengah, Indonesia",,Jembatan Comal,,,Jawa Tengah,3,1,0,2,2,1,54,1,0,60,Good
2023-03-27 10:31:34.970927,172.21.55.104,3271066108850008,"drg. Salwa Widodo, M.M.",38,P,Duda,3,Nurse,Direktur,1286,Pertanian Tanaman Obat Atau Biofarmaka Non Rimpang,S2,Rp 10.000.000 - Rp 15.000.000,71000000,0 - 2 Pinjaman,3,3,2,3,3,PC,Chrome OS,Opera,"Jalan Cikutra Barat No. 79
Kota Administrasi Jakarta Pusat, Banten 90867","Gang Lembong No. 8
Pangkalpinang, Banten 66694",Jalan Kecil,Apartemen,Perorangan Orang Lain,Kawasan perumahan miskin,"-1.26424, 104.09701",Kost-kostan ,Dolor culpa sit unde eum.,Gated community,"Kelurahan Simpang, Tanjung Jabung Timur, Jambi, Indonesia",,,,,Jambi,1,4,1,0,2,1,111,3,0,100,Excellent
2023-03-27 10:31:36.700535,10.39.235.6,6408064110930009,Mariadi Kusmawati,30,P,Belum Kawin,2,Regent/Mayor,Staff,65301,Dana Pensiun Pemberi Kerja,S3,Rp 10.000.000 - Rp 15.000.000,596000000,> 8 Pinjaman,3,1,3,1,3,Smartphone,Linux,Onsite,"Jalan H.J Maemunah No. 842
Magelang, KT 17434","Gg. Cikutra Barat No. 9
Lhokseumawe, SU 50051",Jalan Besar,Rumah,Lainnya,Kawasan pertanian,"5.1811638, 97.14132219999999",Mess ,Sed accusantium similique esse suscipit nemo.,Residential neighbourhood,"Gg. Cikutra Barat No. 9
Lhokseumawe, SU 50051",,,Lhokseumawe,,Aceh,4,1,1,3,3,2,11,0,2,60,Good
2023-03-27 10:31:37.080622,172.18.230.9,3205251209690002,"Cut Putri Yolanda, S.T.",54,L,Cerai Mati,3,Farmer/gardener,Staff,10435,Industri Pemisahan/fraksinasi Minyak Murni Kelapa Sawit,D4,Rp 5.000.000 - Rp 10.000.000,453000000,0 - 2 Pinjaman,4,4,1,4,2,Tablet,Linux,Onsite,"Jalan Ir. H. Djuanda No. 8
Blitar, JB 72576","Jl. Gegerkalong Hilir No. 767
Lhokseumawe, Kalimantan Tengah 50211",Jalan Kecil,Apartemen,Perorangan Orang Lain,Kawasan perumahan miskin,"0.51667, 101.44167",Villa Jalan Durian,Enim a repellat dolor sed distinctio delectus.,Dormitory,"Jalan Durian, RT. 01, Kelurahan Jadirejo, Kabupaten Kampar, Riau, 28121, Indonesia",,Jalan Durian,Kelurahan Jadirejo,28121,Riau,1,3,3,2,3,1,89,2,0,90,Excellent
2023-03-27 10:31:39.291743,10.91.224.238,1707031312520000,H. Kajen Pangestu,71,L,Kawin,5,Merchant/trader,Supervisor,41020,Pemasangan Bangunan Prafabrikasi Untuk Gedung,S1,Rp 15.000.000 - Rp 20.000.000,932000000,> 8 Pinjaman,3,4,1,1,2,Laptop,Android,Safari,"Gang W.R. Supratman No. 267
Kotamobagu, Nusa Tenggara Barat 26993","Gang W.R. Supratman No. 267
Kotamobagu, Nusa Tenggara Barat 26993",Jalan Sedang,Rumah Susun,Perorangan Pribadi,Kawasan komersial,"0.7243733, 124.3199316",Rumah ,Blanditiis nesciunt ducimus placeat.,Duplex,"Gang W.R. Supratman No. 267
Kotamobagu, Nusa Tenggara Barat 26993",,,Kotamobagu,,North Sulawesi,0,3,2,0,1,0,99,3,2,100,Excellent
2023-03-27 10:31:39.690368,192.168.37.135,7306046210750007,Chelsea Uwais,48,P,Cerai Hidup,0,Mason,Staff,51102,Angkutan Udara Berjadwal Dalam Negeri Perintis Untuk Penumpang,S1,Rp 5.000.000 - Rp 10.000.000,988000000,3 - 5 Pinjaman,1,4,1,4,0,Smartphone,iOS,Onsite,"Jalan Ir. H. Djuanda No. 328
Pematangsiantar, Banten 38287","Gg. Merdeka No. 8
Sukabumi, RI 82227",Jalan Kecil,Rumah Susun,Perusahaan,Kawasan pegunungan,"-8.43333, 114.33333",Kost-kostan ,Tempora dolor temporibus dignissimos eius atque dignissimos.,Duplex,"Kedungrejo, Banyuwangi, Jawa Timur, Indonesia",,,Banyuwangi,,Jawa Timur,1,4,4,1,2,1,92,3,0,100,Excellent
2023-03-27 10:31:41.172659,192.168.242.207,9122020602650005,"Dimaz Sirait, S.Ked",58,L,Duda,3,Sailor,Manager,61929,Jasa Multimedia Lainnya,S3,Rp 15.000.000 - Rp 20.000.000,627000000,0 - 2 Pinjaman,1,3,0,4,4,Tablet,macOS,Brave,"Jalan Kebonjati No. 503
Padang Sidempuan, MA 04693","Jalan Kebonjati No. 503
Padang Sidempuan, MA 04693",Jalan Sedang,Apartemen,Perorangan Pribadi,Kawasan pertanian,"1.4437644, 99.2563859",Rumah Susun ,Pariatur eos minus quia architecto labore maxime.,Dormitory,"Jalan Kebonjati No. 503
Padang Sidempuan, MA 04693",,,,,North Sumatra,1,2,2,2,1,1,67,2,2,100,Excellent
2023-03-27 10:31:41.613984,10.66.233.83,7107102106530003,Kayla Nababan,70,L,Belum Kawin,2,Industry,Manager,1493,Pembibitan Dan Budidaya Lebah,SMA/SMK,Rp 10.000.000 - Rp 15.000.000,818000000,3 - 5 Pinjaman,1,4,4,2,1,Laptop,Windows,Brave,"Jalan Jamika No. 0
Tual, Kepulauan Riau 49262","Jalan Jamika No. 0
Tual, Kepulauan Riau 49262",Jalan Sedang,Kost-kostan,Lainnya,Kawasan pegunungan,"3.9456514, 108.1428669",Mess ,Assumenda corrupti a culpa dicta.,Townhouse,"Jalan Jamika No. 0
Tual, Kepulauan Riau 49262",,,,,Riau Islands,3,0,0,4,4,3,4,0,2,60,Good
2023-03-27 10:31:42.013104,192.168.4.88,9113102206780008,"Ayu Napitupulu, S.Sos",45,L,Cerai Mati,5,Indonesian National Police,Staff,16221,Industri Barang Bangunan Dari Kayu,D3,Rp 5.000.000 - Rp 10.000.000,932000000,> 8 Pinjaman,2,0,0,1,3,Laptop,Linux,Chrome,"Gang Gedebage Selatan No. 54
Tangerang Selatan, BA 64383","Gang Gedebage Selatan No. 54
Tangerang Selatan, BA 64383",Jalan Kecil,Rumah Susun,Pemerintah,Kawasan wisata,"-6.2835218, 106.7112933",Kontrakan ,Et quae at error sit.,Gated community,"Gang Gedebage Selatan No. 54
Tangerang Selatan, BA 64383",,,South Tangerang,,Banten,3,1,2,2,2,1,51,1,2,90,Excellent
2023-03-27 10:31:42.402926,10.25.129.165,1704065109610001,Ir. Banawi Nugroho,62,P,Janda,5,Lawyer,Supervisor,1411,Pembibitan Dan Budidaya Sapi Potong,S2,< Rp 5.000.000,198000000,0 - 2 Pinjaman,4,3,2,3,3,Smartphone,Android,Opera,"Jl. Astana Anyar No. 187
Padang, Gorontalo 51213","Jl. Astana Anyar No. 187
Padang, Gorontalo 51213",Jalan Sedang,Villa,Perusahaan,Kawasan perumahan miskin,"0.5435441999999999, 123.0567693",Mess ,Molestias accusamus deserunt facere neque.,Dormitory,"Jl. Astana Anyar No. 187
Padang, Gorontalo 51213",,,Gorontalo,,Gorontalo,1,4,2,0,1,0,102,3,2,100,Excellent
2023-03-27 10:31:42.795558,10.175.62.207,3322181604590002,"Anggabaya Hassanah, M.Ak",64,L,Cerai Hidup,5,Domestic helper,Supervisor,2131,Pengusahaan Rotan,D3,> Rp 20.000.000,491000000,> 8 Pinjaman,4,1,4,1,1,Laptop,Chrome OS,Brave,"Gang Peta No. 590
Bontang, Sulawesi Tengah 54230","Gang Peta No. 590
Bontang, Sulawesi Tengah 54230",Jalan Besar,Kost-kostan,Lainnya,Pusat kota,"-1.4300254, 121.4456179",Apartemen ,Hic nisi molestiae culpa at inventore.,Duplex,"Gang Peta No. 590
Bontang, Sulawesi Tengah 54230",,,,,Central Sulawesi,0,3,2,1,2,1,103,3,0,100,Excellent
2023-03-27 10:31:43.203193,192.168.73.60,7201015904520001,Mursinin Dabukke,71,P,Belum Kawin,1,Vice Mayor,Manager,20114,Industri Kimia Dasar Anorganik Lainnya,SMA/SMK,Rp 5.000.000 - Rp 10.000.000,759000000,6 - 8 Pinjaman,0,1,0,3,4,Smartphone,Chrome OS,Unknown,"Gang Sentot Alibasa No. 41
Sawahlunto, Bali 27504","Gang Sentot Alibasa No. 41
Sawahlunto, Bali 27504",Jalan Kecil,Villa,Lainnya,Kawasan pertanian,"-0.5966387, 100.7360203",Villa ,Rerum aut temporibus officiis error.,Duplex,"Gang Sentot Alibasa No. 41
Sawahlunto, Bali 27504",,,Sawahlunto,,West Sumatra,4,1,1,3,3,2,26,0,2,60,Good
2023-03-27 10:31:43.623131,192.168.115.61,7601022905960002,Cakrajiya Hutagalung,27,L,Cerai Mati,4,Shoe repairman,Direktur,28120,Industri Peralatan Tenaga Zat Cair Dan Gas,SMA/SMK,> Rp 20.000.000,116000000,6 - 8 Pinjaman,3,0,1,0,2,Smartphone,iOS,Safari,"Jl. Merdeka No. 544
Bengkulu, RI 92590","Jl. Merdeka No. 544
Bengkulu, RI 92590",Jalan Besar,Perum,Perorangan Pribadi,Kawasan wisata,"-3.792845099999999, 102.2607641",Apartemen ,Dolor amet deserunt minima maxime quae architecto.,Townhouse,"Jl. Merdeka No. 544
Bengkulu, RI 92590",,,Bengkulu,,Bengkulu,3,1,0,4,3,2,26,0,2,50,Good
2023-03-27 10:31:43.982555,172.25.45.227,3501090605550008,"Tgk. Emin Natsir, S.E.",68,L,Cerai Hidup,1,Not working,Staff,10750,Industri Makanan Dan Masakan Olahan,D3,Rp 10.000.000 - Rp 15.000.000,956000000,> 8 Pinjaman,2,1,4,1,1,Smartphone,Windows,Unknown,"Jalan Rajiman No. 590
Bandung, RI 74891","Jalan Rajiman No. 590
Bandung, RI 74891",Jalan Kecil,Rumah,Perorangan Orang Lain,Kawasan perumahan miskin,"0.51667, 101.44167",Rumah Susun Jalan Durian,Alias minima tempore sint itaque libero.,Retirement home,"Jalan Durian, RT. 01, Kelurahan Jadirejo, Kabupaten Kampar, Riau, 28121, Indonesia",,Jalan Durian,Kelurahan Jadirejo,28121,Riau,1,4,3,1,2,0,94,3,0,100,Excellent
2023-03-27 10:31:46.019607,172.23.125.238,9211026802550008,"Dt. Cakrabuana Sinaga, S.Psi",68,P,Janda,0,Lawyer,Staff,13922,Industri Barang Jadi Tekstil Sulaman,SMA/SMK,< Rp 5.000.000,836000000,3 - 5 Pinjaman,0,1,2,4,1,PC,Windows,Firefox,"Gg. Pacuan Kuda No. 3
Samarinda, BB 27374","Gg. Pacuan Kuda No. 3
Samarinda, BB 27374",Jalan Kecil,Rumah,Lainnya,Kawasan komersial,,Apartemen ,Accusamus maiores veniam nobis.,,"Gg. Pacuan Kuda No. 3
Samarinda, BB 27374",,,,,,4,0,0,4,3,3,18,0,0,40,Fair
2023-03-27 10:31:46.238974,10.58.158.244,3316025010990003,drg. Rina Widodo,24,P,Kawin,0,Nun,Manager,84139,Kegiatan Lembaga Pemerintahan Untuk Menciptakan Efisiensi Produksi Dan Bisnis Lainnya,SMA/SMK,Rp 10.000.000 - Rp 15.000.000,484000000,6 - 8 Pinjaman,1,1,0,3,3,Smartphone,Linux,Chrome,"Jalan Jamika No. 89
Tebingtinggi, BA 03079","Jalan Dipenogoro No. 67
Bau-Bau, Kalimantan Tengah 74079",Jalan Besar,Apartemen,Perorangan Pribadi,Kawasan perumahan elite,"-1.6814878, 113.3823545",Rumah Susun ,Ad commodi maxime veritatis eos.,Townhouse,"Jalan Dipenogoro No. 67
Bau-Bau, Kalimantan Tengah 74079",,,,,Central Kalimantan,2,2,1,1,3,1,63,2,2,100,Excellent
